subject,session,fold,time_center_s,window_start_s,window_stop_s,acc,pipeline,n_trials_session,n_trials_test,n_channels,win_sec,step_sec,train_win_start_s,train_win_stop_s
5,5,1,1.74609375,1.25,2.25,0.5454545454545454,riem+svm_rbf_trainfixed_testsliding,436,88,17,1.0,0.1,0.5,1.5
5,5,1,1.83984375,1.34375,2.34375,0.5795454545454546,riem+svm_rbf_trainfixed_testsliding,436,88,17,1.0,0.1,0.5,1.5
5,5,1,1.93359375,1.4375,2.4375,0.6022727272727273,riem+svm_rbf_trainfixed_testsliding,436,88,17,1.0,0.1,0.5,1.5
5,5,2,0.99609375,0.5,1.5,0.47126436781609193,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,2,1.08984375,0.59375,1.59375,0.5057471264367817,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,2,1.18359375,0.6875,1.6875,0.5747126436781609,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,2,1.27734375,0.78125,1.78125,0.5747126436781609,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,2,1.37109375,0.875,1.875,0.5747126436781609,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,2,1.46484375,0.96875,1.96875,0.6551724137931034,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,2,1.55859375,1.0625,2.0625,0.6436781609195402,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,2,1.65234375,1.15625,2.15625,0.6091954022988506,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,2,1.74609375,1.25,2.25,0.6436781609195402,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,2,1.83984375,1.34375,2.34375,0.5747126436781609,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,2,1.93359375,1.4375,2.4375,0.6206896551724138,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,3,0.99609375,0.5,1.5,0.6091954022988506,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,3,1.08984375,0.59375,1.59375,0.632183908045977,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,3,1.18359375,0.6875,1.6875,0.6206896551724138,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,3,1.27734375,0.78125,1.78125,0.5747126436781609,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,3,1.37109375,0.875,1.875,0.5747126436781609,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,3,1.46484375,0.96875,1.96875,0.5287356321839081,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,3,1.55859375,1.0625,2.0625,0.5632183908045977,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,3,1.65234375,1.15625,2.15625,0.5517241379310345,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,3,1.74609375,1.25,2.25,0.4942528735632184,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,3,1.83984375,1.34375,2.34375,0.4942528735632184,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,3,1.93359375,1.4375,2.4375,0.5057471264367817,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,4,0.99609375,0.5,1.5,0.5287356321839081,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,4,1.08984375,0.59375,1.59375,0.4827586206896552,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,4,1.18359375,0.6875,1.6875,0.5057471264367817,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,4,1.27734375,0.78125,1.78125,0.45977011494252873,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,4,1.37109375,0.875,1.875,0.47126436781609193,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,4,1.46484375,0.96875,1.96875,0.4827586206896552,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,4,1.55859375,1.0625,2.0625,0.4942528735632184,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,4,1.65234375,1.15625,2.15625,0.5057471264367817,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,4,1.74609375,1.25,2.25,0.5402298850574713,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,4,1.83984375,1.34375,2.34375,0.5172413793103449,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,4,1.93359375,1.4375,2.4375,0.5747126436781609,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,5,0.99609375,0.5,1.5,0.4827586206896552,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,5,1.08984375,0.59375,1.59375,0.5057471264367817,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,5,1.18359375,0.6875,1.6875,0.5172413793103449,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,5,1.27734375,0.78125,1.78125,0.5287356321839081,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,5,1.37109375,0.875,1.875,0.5402298850574713,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,5,1.46484375,0.96875,1.96875,0.5632183908045977,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,5,1.55859375,1.0625,2.0625,0.5977011494252874,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,5,1.65234375,1.15625,2.15625,0.5517241379310345,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,5,1.74609375,1.25,2.25,0.5862068965517241,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,5,1.83984375,1.34375,2.34375,0.5977011494252874,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,5,5,1.93359375,1.4375,2.4375,0.5632183908045977,riem+svm_rbf_trainfixed_testsliding,436,87,17,1.0,0.1,0.5,1.5
5,7,1,0.99609375,0.5,1.5,0.5,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,1,1.08984375,0.59375,1.59375,0.5,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,1,1.18359375,0.6875,1.6875,0.5113636363636364,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,1,1.27734375,0.78125,1.78125,0.5227272727272727,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,1,1.37109375,0.875,1.875,0.5340909090909091,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,1,1.46484375,0.96875,1.96875,0.5681818181818182,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,1,1.55859375,1.0625,2.0625,0.5340909090909091,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,1,1.65234375,1.15625,2.15625,0.5227272727272727,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,1,1.74609375,1.25,2.25,0.5568181818181818,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,1,1.83984375,1.34375,2.34375,0.5568181818181818,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,1,1.93359375,1.4375,2.4375,0.5,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,2,0.99609375,0.5,1.5,0.4318181818181818,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,2,1.08984375,0.59375,1.59375,0.4431818181818182,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,2,1.18359375,0.6875,1.6875,0.4659090909090909,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,2,1.27734375,0.78125,1.78125,0.3977272727272727,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,2,1.37109375,0.875,1.875,0.4659090909090909,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,2,1.46484375,0.96875,1.96875,0.4659090909090909,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,2,1.55859375,1.0625,2.0625,0.45454545454545453,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,2,1.65234375,1.15625,2.15625,0.4659090909090909,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,2,1.74609375,1.25,2.25,0.5227272727272727,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,2,1.83984375,1.34375,2.34375,0.5340909090909091,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,2,1.93359375,1.4375,2.4375,0.6022727272727273,riem+svm_rbf_trainfixed_testsliding,437,88,17,1.0,0.1,0.5,1.5
5,7,3,0.99609375,0.5,1.5,0.5517241379310345,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,3,1.08984375,0.59375,1.59375,0.5517241379310345,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,3,1.18359375,0.6875,1.6875,0.5172413793103449,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,3,1.27734375,0.78125,1.78125,0.5402298850574713,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,3,1.37109375,0.875,1.875,0.5747126436781609,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,3,1.46484375,0.96875,1.96875,0.5517241379310345,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,3,1.55859375,1.0625,2.0625,0.5632183908045977,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,3,1.65234375,1.15625,2.15625,0.5977011494252874,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,3,1.74609375,1.25,2.25,0.5632183908045977,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,3,1.83984375,1.34375,2.34375,0.6436781609195402,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,3,1.93359375,1.4375,2.4375,0.6091954022988506,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,4,0.99609375,0.5,1.5,0.4482758620689655,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,4,1.08984375,0.59375,1.59375,0.47126436781609193,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,4,1.18359375,0.6875,1.6875,0.5057471264367817,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,4,1.27734375,0.78125,1.78125,0.5632183908045977,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,4,1.37109375,0.875,1.875,0.5402298850574713,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,4,1.46484375,0.96875,1.96875,0.5402298850574713,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,4,1.55859375,1.0625,2.0625,0.5977011494252874,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,4,1.65234375,1.15625,2.15625,0.5977011494252874,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,4,1.74609375,1.25,2.25,0.5517241379310345,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,4,1.83984375,1.34375,2.34375,0.5402298850574713,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,4,1.93359375,1.4375,2.4375,0.5402298850574713,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,5,0.99609375,0.5,1.5,0.5172413793103449,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,5,1.08984375,0.59375,1.59375,0.4942528735632184,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,5,1.18359375,0.6875,1.6875,0.5287356321839081,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,5,1.27734375,0.78125,1.78125,0.4942528735632184,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,5,1.37109375,0.875,1.875,0.5172413793103449,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,5,1.46484375,0.96875,1.96875,0.5287356321839081,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,5,1.55859375,1.0625,2.0625,0.5172413793103449,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,5,1.65234375,1.15625,2.15625,0.5402298850574713,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,5,1.74609375,1.25,2.25,0.5747126436781609,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,5,1.83984375,1.34375,2.34375,0.632183908045977,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
5,7,5,1.93359375,1.4375,2.4375,0.6436781609195402,riem+svm_rbf_trainfixed_testsliding,437,87,17,1.0,0.1,0.5,1.5
